,,"GeneID","Length","Min4vsCtrl","Min8vsCtrl","Min15vsCtrl","Min30vsCtrl","Hr1vsCtrl","Hr2vsCtrl","Hr4vsCtrl","Hr8vsCtrl","Hr16vsCtrl","CtrlHr16vsCtrl","AveExpr","F","P.Value","adj.P.Val"
,"26156",26156,5137,0.02350931971634,-0.137568233867412,0.044422576111129,0.106794979413144,-0.084843785350975,0.060529335656057,0.701386617644669,0.542866787007919,0.278882009813442,0.009719336906154,7.35978233070429,28.0627106508417,5.21E-12,8.96E-10
,"23348",23348,9353,0.043782502473873,-0.097308631933315,-0.042510194842386,-0.393160201728912,-0.014318933203367,-0.360359127244703,-0.272801447880217,-0.194748585492246,-0.060680511170753,0.684906594577872,6.70618924564029,27.926174521315,5.53E-12,9.34E-10
,"7372",7372,6837,0.102223604440437,0.268962292525216,0.231824929974455,0.297060585678854,0.188356869727142,0.339960327728446,0.410155891404508,0.495492836529108,0.289188276654047,-0.552934651640371,6.00757859904903,27.9122543835768,5.57E-12,9.34E-10
,"115708",115708,3241,0.333561959787711,0.525837366422335,0.240785658183801,0.229521677766217,0.324350419931601,0.503521435114062,0.877259123579459,0.977547505320006,0.473378838203436,-0.395019470995534,4.93434412557088,27.8226921453651,5.79E-12,9.60E-10
,"57476",57476,13366,0.102137673654275,-0.043705982560595,0.048707266781536,-0.410329472379024,0.145860420250727,-0.259640668045443,-0.97507480797884,-1.19706025586517,-0.371837999188187,0.375273887481191,4.11997997208908,27.6014991781239,6.40E-12,1.05E-09
,"2202",2202,3094,-0.11710695580976,0.014444131985639,-0.068201090083023,0.082990704511375,-0.126462961878596,0.141786661545428,0.019655502996622,-0.281866670618743,-0.602825854264261,-1.77520150133778,6.03111831488555,27.5477264636901,6.55E-12,1.06E-09
,"1316",1316,4662,-0.683748238641849,-0.620843939276714,-0.331733764652262,-0.342540195884862,0.066385115805325,-0.356500272240527,0.094596587934877,-0.281313065129418,-0.115198566991605,0.909493759221665,5.85361879809936,27.2752567788575,7.41E-12,1.18E-09
,"54910",54910,4695,0.059402398896288,0.035452059409103,-0.06433834767688,-0.485854078570908,-0.085489321235469,-0.653455827188107,-0.993255793228636,-0.014236211418698,-0.141090872805156,0.19142434489237,4.85704926085641,27.2111143075519,7.63E-12,1.21E-09
,"133746",133746,9129,-0.114384199401768,-0.112050625255101,-0.056716161168023,-0.433433610701135,0.02643822715741,-0.511331474908791,-1.13863794556205,-0.177356521899315,0.125689581519264,0.914541832498641,4.60363543259199,27.0777945558825,8.11E-12,1.26E-09
,"687",687,5208,-0.396884077178936,-0.489910205298576,-0.307007016111299,-0.617102086245485,-0.135967275470172,-0.614433446144707,-1.3886026865657,-1.22516495460417,-0.464161379901021,0.963119119664426,2.87292820277427,27.0458266995868,8.23E-12,1.26E-09
